pvs_id,sample_index,O21
TR04_SRC001_HRC01,0,4.559
TR04_SRC001_HRC01,1,4.559
TR04_SRC001_HRC01,10,4.559
TR04_SRC001_HRC01,11,4.559
TR04_SRC001_HRC01,12,4.559
TR04_SRC001_HRC01,13,4.559
TR04_SRC001_HRC01,14,4.559
TR04_SRC001_HRC01,15,4.559
TR04_SRC001_HRC01,16,4.559
TR04_SRC001_HRC01,17,4.559
TR04_SRC001_HRC01,18,4.559
TR04_SRC001_HRC01,19,4.559
TR04_SRC001_HRC01,2,4.559
TR04_SRC001_HRC01,20,4.559
TR04_SRC001_HRC01,21,4.559
TR04_SRC001_HRC01,22,4.559
TR04_SRC001_HRC01,23,4.559
TR04_SRC001_HRC01,24,4.559
TR04_SRC001_HRC01,25,4.559
TR04_SRC001_HRC01,26,4.559
TR04_SRC001_HRC01,27,4.559
TR04_SRC001_HRC01,28,4.559
TR04_SRC001_HRC01,29,4.559
TR04_SRC001_HRC01,3,4.559
TR04_SRC001_HRC01,30,4.559
TR04_SRC001_HRC01,31,4.559
TR04_SRC001_HRC01,32,4.559
TR04_SRC001_HRC01,33,4.559
TR04_SRC001_HRC01,34,4.559
TR04_SRC001_HRC01,35,4.559
TR04_SRC001_HRC01,36,4.559
TR04_SRC001_HRC01,37,4.559
TR04_SRC001_HRC01,38,4.559
TR04_SRC001_HRC01,39,4.559
TR04_SRC001_HRC01,4,4.559
TR04_SRC001_HRC01,40,4.559
TR04_SRC001_HRC01,41,4.559
TR04_SRC001_HRC01,42,4.559
TR04_SRC001_HRC01,43,4.559
TR04_SRC001_HRC01,44,4.559
TR04_SRC001_HRC01,45,4.559
TR04_SRC001_HRC01,46,4.559
TR04_SRC001_HRC01,47,4.559
TR04_SRC001_HRC01,48,4.559
TR04_SRC001_HRC01,49,4.559
TR04_SRC001_HRC01,5,4.559
TR04_SRC001_HRC01,50,4.559
TR04_SRC001_HRC01,51,4.559
TR04_SRC001_HRC01,52,4.559
TR04_SRC001_HRC01,53,4.559
TR04_SRC001_HRC01,54,4.559
TR04_SRC001_HRC01,55,4.559
TR04_SRC001_HRC01,56,4.559
TR04_SRC001_HRC01,57,4.559
TR04_SRC001_HRC01,58,4.559
TR04_SRC001_HRC01,59,4.559
TR04_SRC001_HRC01,6,4.559
TR04_SRC001_HRC01,7,4.559
TR04_SRC001_HRC01,8,4.559
TR04_SRC001_HRC01,9,4.559
TR04_SRC002_HRC01,0,4.559
TR04_SRC002_HRC01,1,4.559
TR04_SRC002_HRC01,10,4.559
TR04_SRC002_HRC01,11,4.559
TR04_SRC002_HRC01,12,4.559
TR04_SRC002_HRC01,13,4.559
TR04_SRC002_HRC01,14,4.559
TR04_SRC002_HRC01,15,4.559
TR04_SRC002_HRC01,16,4.559
TR04_SRC002_HRC01,17,4.559
TR04_SRC002_HRC01,18,4.559
TR04_SRC002_HRC01,19,4.559
TR04_SRC002_HRC01,2,4.559
TR04_SRC002_HRC01,20,4.559
TR04_SRC002_HRC01,21,4.559
TR04_SRC002_HRC01,22,4.559
TR04_SRC002_HRC01,23,4.559
TR04_SRC002_HRC01,24,4.559
TR04_SRC002_HRC01,25,4.559
TR04_SRC002_HRC01,26,4.559
TR04_SRC002_HRC01,27,4.559
TR04_SRC002_HRC01,28,4.559
TR04_SRC002_HRC01,29,4.559
TR04_SRC002_HRC01,3,4.559
TR04_SRC002_HRC01,30,4.559
TR04_SRC002_HRC01,31,4.559
TR04_SRC002_HRC01,32,4.559
TR04_SRC002_HRC01,33,4.559
TR04_SRC002_HRC01,34,4.559
TR04_SRC002_HRC01,35,4.559
TR04_SRC002_HRC01,36,4.559
TR04_SRC002_HRC01,37,4.559
TR04_SRC002_HRC01,38,4.559
TR04_SRC002_HRC01,39,4.559
TR04_SRC002_HRC01,4,4.559
TR04_SRC002_HRC01,40,4.559
TR04_SRC002_HRC01,41,4.559
TR04_SRC002_HRC01,42,4.559
TR04_SRC002_HRC01,43,4.559
TR04_SRC002_HRC01,44,4.559
TR04_SRC002_HRC01,45,4.559
TR04_SRC002_HRC01,46,4.559
TR04_SRC002_HRC01,47,4.559
TR04_SRC002_HRC01,48,4.559
TR04_SRC002_HRC01,49,4.559
TR04_SRC002_HRC01,5,4.559
TR04_SRC002_HRC01,50,4.559
TR04_SRC002_HRC01,51,4.559
TR04_SRC002_HRC01,52,4.559
TR04_SRC002_HRC01,53,4.559
TR04_SRC002_HRC01,54,4.559
TR04_SRC002_HRC01,55,4.559
TR04_SRC002_HRC01,56,4.559
TR04_SRC002_HRC01,57,4.559
TR04_SRC002_HRC01,58,4.559
TR04_SRC002_HRC01,59,4.559
TR04_SRC002_HRC01,6,4.559
TR04_SRC002_HRC01,7,4.559
TR04_SRC002_HRC01,8,4.559
TR04_SRC002_HRC01,9,4.559
TR04_SRC003_HRC02,0,4.554
TR04_SRC003_HRC02,1,4.554
TR04_SRC003_HRC02,10,4.531
TR04_SRC003_HRC02,11,4.531
TR04_SRC003_HRC02,12,4.531
TR04_SRC003_HRC02,13,4.531
TR04_SRC003_HRC02,14,4.529
TR04_SRC003_HRC02,15,4.408
TR04_SRC003_HRC02,16,4.408
TR04_SRC003_HRC02,17,4.408
TR04_SRC003_HRC02,18,4.408
TR04_SRC003_HRC02,19,4.408
TR04_SRC003_HRC02,2,4.554
TR04_SRC003_HRC02,20,4.408
TR04_SRC003_HRC02,21,4.408
TR04_SRC003_HRC02,22,4.408
TR04_SRC003_HRC02,23,4.408
TR04_SRC003_HRC02,24,4.408
TR04_SRC003_HRC02,25,4.408
TR04_SRC003_HRC02,26,4.408
TR04_SRC003_HRC02,27,4.408
TR04_SRC003_HRC02,28,4.408
TR04_SRC003_HRC02,29,4.408
