bitrate_kbps_segment_size,bitrate_kbps_target,coding_height,coding_res,coding_width,display_height,display_res,display_width,dts,framerate,sample_index,pvs_id
2884.52824537,2500,1080,2073600,1920,1080,2073600,1920,0.958341,24,0,TR04_SRC003_HRC02
2884.52824537,2500,1080,2073600,1920,1080,2073600,1920,1.958349,24,1,TR04_SRC003_HRC02
2884.52824537,2500,1080,2073600,1920,1080,2073600,1920,2.958357,24,2,TR04_SRC003_HRC02
2884.52824537,2500,1080,2073600,1920,1080,2073600,1920,3.958365,24,3,TR04_SRC003_HRC02
2884.52824537,2500,1080,2073600,1920,1080,2073600,1920,4.958373,24,4,TR04_SRC003_HRC02
538.717991056,500,480,408960,852,1080,2073600,1920,5.958381,24,5,TR04_SRC003_HRC02
538.717991056,500,480,408960,852,1080,2073600,1920,6.958389,24,6,TR04_SRC003_HRC02
538.717991056,500,480,408960,852,1080,2073600,1920,7.958397,24,7,TR04_SRC003_HRC02
538.717991056,500,480,408960,852,1080,2073600,1920,8.958405,24,8,TR04_SRC003_HRC02
538.717991056,500,480,408960,852,1080,2073600,1920,9.958413,24,9,TR04_SRC003_HRC02
538.717991056,500,480,408960,852,1080,2073600,1920,10.958421,24,10,TR04_SRC003_HRC02
538.717991056,500,480,408960,852,1080,2073600,1920,11.958429,24,11,TR04_SRC003_HRC02
538.717991056,500,480,408960,852,1080,2073600,1920,12.958437,24,12,TR04_SRC003_HRC02
538.717991056,500,480,408960,852,1080,2073600,1920,13.958445,24,13,TR04_SRC003_HRC02
538.717991056,500,480,408960,852,1080,2073600,1920,14.958453,24,14,TR04_SRC003_HRC02
176.684030794,150,240,102240,426,1080,2073600,1920,15.958461,24,15,TR04_SRC003_HRC02
176.684030794,150,240,102240,426,1080,2073600,1920,16.958469,24,16,TR04_SRC003_HRC02
176.684030794,150,240,102240,426,1080,2073600,1920,17.958477,24,17,TR04_SRC003_HRC02
176.684030794,150,240,102240,426,1080,2073600,1920,18.958485,24,18,TR04_SRC003_HRC02
176.684030794,150,240,102240,426,1080,2073600,1920,19.958493,24,19,TR04_SRC003_HRC02
171.679759362,150,240,102240,426,1080,2073600,1920,20.958501,24,20,TR04_SRC003_HRC02
171.679759362,150,240,102240,426,1080,2073600,1920,21.958509,24,21,TR04_SRC003_HRC02
