bitrate_kbps_segment_size,bitrate_kbps_target,coding_height,coding_res,coding_width,display_height,display_res,display_width,dts,framerate,gop_length,i_sizes_average,iframe_ratio,noni_sizes_average,sample_index,pvs_id
11456.1010785,10000,1080,2073600,1920,1080,2073600,1920,0.958333,24,1,385760,8.48029193871,45489,0,TR04_SRC001_HRC01
10990.6367416,10000,1080,2073600,1920,1080,2073600,1920,1.958333,24,1,363159,8.26450776023,43942,1,TR04_SRC001_HRC01
10715.3352004,10000,1080,2073600,1920,1080,2073600,1920,2.958333,24,1,344492,7.96365990106,43258,2,TR04_SRC001_HRC01
10662.660413,10000,1080,2073600,1920,1080,2073600,1920,3.958333,24,1,327087,7.48003567508,43728,3,TR04_SRC001_HRC01
10517.2187956,10000,1080,2073600,1920,1080,2073600,1920,4.958333,24,1,341798,8.08071303608,42298,4,TR04_SRC001_HRC01
10330.8598531,10000,1080,2073600,1920,1080,2073600,1920,5.958333,24,1,348636,8.50580657753,40988,5,TR04_SRC001_HRC01
9926.20011981,10000,1080,2073600,1920,1080,2073600,1920,6.958333,24,1,339633,8.66852986217,39180,6,TR04_SRC001_HRC01
9951.67416438,10000,1080,2073600,1920,1080,2073600,1920,7.958333,24,1,347747,8.92436996356,38966,7,TR04_SRC001_HRC01
10040.2405202,10000,1080,2073600,1920,1080,2073600,1920,8.958333,24,1,353532,9.01982395714,39195,8,TR04_SRC001_HRC01
10067.400179,10000,1080,2073600,1920,1080,2073600,1920,9.958333,24,1,346889,8.61365216528,40272,9,TR04_SRC001_HRC01
10376.2499503,10000,1080,2073600,1920,1080,2073600,1920,10.958333,24,1,366135,8.89713744168,41152,10,TR04_SRC001_HRC01
10482.393836,10000,1080,2073600,1920,1080,2073600,1920,11.958333,24,1,383521,9.35188978298,41010,11,TR04_SRC001_HRC01
9526.39941302,10000,1080,2073600,1920,1080,2073600,1920,12.958333,24,1,352441,9.49745344795,37109,12,TR04_SRC001_HRC01
9043.75856434,10000,1080,2073600,1920,1080,2073600,1920,13.958333,24,1,343652,9.85975784702,34854,13,TR04_SRC001_HRC01
8701.87583802,10000,1080,2073600,1920,1080,2073600,1920,14.958333,24,1,345078,10.4756382623,32941,14,TR04_SRC001_HRC01
8505.3151057,10000,1080,2073600,1920,1080,2073600,1920,15.958333,24,1,342035,10.6882597419,32001,15,TR04_SRC001_HRC01
8428.84760889,10000,1080,2073600,1920,1080,2073600,1920,16.958333,24,1,335738,10.5425485147,31846,16,TR04_SRC001_HRC01
8373.69875571,10000,1080,2073600,1920,1080,2073600,1920,17.958333,24,1,342128,10.9365470064,31283,17,TR04_SRC001_HRC01
8281.45010748,10000,1080,2073600,1920,1080,2073600,1920,18.958333,24,1,343930,11.2000130259,30708,18,TR04_SRC001_HRC01
8281.62687433,10000,1080,2073600,1920,1080,2073600,1920,19.958333,24,1,344244,11.2146207975,30696,19,TR04_SRC001_HRC01
8880.45164532,10000,1080,2073600,1920,1080,2073600,1920,20.958333,24,1,359909,10.8090518665,33297,20,TR04_SRC001_HRC01
9436.70005546,10000,1080,2073600,1920,1080,2073600,1920,21.958333,24,1,393474,11.2656111318,34927,21,TR04_SRC001_HRC01
9930.4018595,10000,1080,2073600,1920,1080,2073600,1920,22.958333,24,1,428075,11.8331214065,36176,22,TR04_SRC001_HRC01
10055.6746444,10000,1080,2073600,1920,1080,2073600,1920,23.958333,24,1,439356,12.0738684767,36389,23,TR04_SRC001_HRC01
10297.7694759,10000,1080,2073600,1920,1080,2073600,1920,24.958333,24,1,462029,12.5667464505,36766,24,TR04_SRC001_HRC01
10557.285262,10000,1080,2073600,1920,1080,2073600,1920,25.958333,24,1,496921,13.5282859632,36732,25,TR04_SRC001_HRC01
10545.2258344,10000,1080,2073600,1920,1080,2073600,1920,26.958333,24,1,481172,12.8941769167,37317,26,TR04_SRC001_HRC01
10440.9053329,10000,1080,2073600,1920,1080,2073600,1920,27.958333,24,1,465293,12.4386612131,37407,27,TR04_SRC001_HRC01
10620.6227093,10000,1080,2073600,1920,1080,2073600,1920,28.958333,24,1,487886,13.0280114289,37449,28,TR04_SRC001_HRC01
10476.5232525,10000,1080,2073600,1920,1080,2073600,1920,29.958333,24,1,484778,13.1751053132,36795,29,TR04_SRC001_HRC01
10587.054243,10000,1080,2073600,1920,1080,2073600,1920,30.958333,24,1,485605,12.9976446027,37361,30,TR04_SRC001_HRC01
10889.1471916,10000,1080,2073600,1920,1080,2073600,1920,31.958333,24,1,503915,13.1766597809,38243,31,TR04_SRC001_HRC01
11165.1932839,10000,1080,2073600,1920,1080,2073600,1920,32.958333,24,1,502478,12.6253925978,39799,32,TR04_SRC001_HRC01
11302.3338987,10000,1080,2073600,1920,1080,2073600,1920,33.958333,24,1,505677,12.5133503254,40411,33,TR04_SRC001_HRC01
11708.4166625,10000,1080,2073600,1920,1080,2073600,1920,34.958333,24,1,509765,12.0100129579,42445,34,TR04_SRC001_HRC01
11859.4966063,10000,1080,2073600,1920,1080,2073600,1920,35.958333,24,1,539750,12.8435455086,42025,35,TR04_SRC001_HRC01
11766.0386483,10000,1080,2073600,1920,1080,2073600,1920,36.958333,24,1,563307,13.8930350713,40546,36,TR04_SRC001_HRC01
11762.1634058,10000,1080,2073600,1920,1080,2073600,1920,37.958333,24,1,585629,14.7874908467,39603,37,TR04_SRC001_HRC01
11762.8660641,10000,1080,2073600,1920,1080,2073600,1920,38.958333,24,1,607150,15.6813368459,38718,38,TR04_SRC001_HRC01
11739.424214,10000,1080,2073600,1920,1080,2073600,1920,39.958333,24,1,628814,16.6811863328,37696,39,TR04_SRC001_HRC01
11195.8020077,10000,1080,2073600,1920,1080,2073600,1920,40.958333,24,1,632487,18.2826130944,34595,40,TR04_SRC001_HRC01
10755.9415433,10000,1080,2073600,1920,1080,2073600,1920,41.958333,24,1,636416,19.858212681,32048,41,TR04_SRC001_HRC01
10392.3890446,10000,1080,2073600,1920,1080,2073600,1920,42.958333,24,1,629669,20.7435018943,30355,42,TR04_SRC001_HRC01
10005.4167416,10000,1080,2073600,1920,1080,2073600,1920,43.958333,24,1,594763,20.0270388578,29698,43,TR04_SRC001_HRC01
